VocabKanji	VocabFurigana	NoteID	ImageFile	SourceFile	Action	Slot	SentType	SentKanji	SentFurigana	SentDefSC	SentDefTC	AudioFile	UpdatedAt	Notes
薄い	うすい	0b635c16-2ed7-11ef-a183-99ad05e145f0	_vocab-usui.png	260618薄い.png	insert	1		彼はスープを煮るときに塩を入れ忘れたので、味が少し薄いです。	彼[かれ]はスープを 煮[に]るときに 塩[しお]を 入[い]れ 忘[わす]れたので、 味[あじ]が 少[すこ]し<b>薄[うす]い</b>です。	他煮汤时忘了放盐，所以味道有点淡。	他煮湯時忘了放鹽，所以味道有點淡。	voicepeak-custom-fb74e8e24e.mp3	2026-06-18	front-side visual hint
軽い	かるい	0b5682ac-2ed7-11ef-a183-99ad05e145f0	_vocab-karui.png	260618軽い.png	reuse-slot	1		体重が軽い	体重[たいじゅう]が <b>軽[かる]い</b>	体重轻	體重輕	voicepeak-custom-577ea9d253.mp3	2026-06-18	front-side visual hint
高い	たかい	0b57f556-2ed7-11ef-a183-99ad05e145f0	_vocab-takai.png	260618高い.png	reuse-slot	1		高い山	<b>高[たか]い</b> 山[やま]	高山	高山	voicepeak-custom-e4750ca615.mp3	2026-06-19	front-side visual hint
長い	ながい	0b61231a-2ed7-11ef-a183-99ad05e145f0	_vocab-nagai.png	260619長い.png	reuse-slot	1		いちばん長い川	いちばん <b>長[なが]い</b> 川[かわ]	最长的河流	最長的河流	voicepeak-custom-25f9264650.mp3	2026-06-19	front-side visual hint
呼ぶ	よぶ	0b5727fc-2ed7-11ef-a183-99ad05e145f0	_vocab-yobu.png	260619呼ぶ.png	reuse-slot	1		ウェイターを呼びましょう	ウェイターを<b> 呼[よ]び</b>ましょう	叫服务生来吧	叫服務生來吧	voicepeak-custom-58c7972c14.mp3	2026-06-19	front-side visual hint
習う	ならう	0b5b250a-2ed7-11ef-a183-99ad05e145f0	_vocab-narau.png	260619習う.png	reuse-slot	1		バイオリンを習う	バイオリンを <b>習[なら]う</b>	学习小提琴	學習小提琴	voicepeak-custom-0560b9fb4f.mp3	2026-06-19	front-side visual hint
固い	かたい	0b7a0128-2ed7-11ef-a183-99ad05e145f0	_vocab-katai.png	260619固い.png	reuse-slot	1		団結が固い	団結[だんけつ]が <b>固[かた]い</b>	团结紧密	團結緊密	voicepeak-custom-feb9697417.mp3	2026-06-19	front-side visual hint
体	からだ	0b5f4658-2ed7-11ef-a183-99ad05e145f0	_vocab-karada.png	体.png	insert	1		彼は最近、体の調子があまりよくないです。	彼[かれ]は 最近[さいきん]、<b>体[からだ]</b>の 調子[ちょうし]があまりよくないです。	他最近身体状况不太好。	他最近身體狀況不太好。	voicepeak-custom-7b4af491a2.mp3	2026-06-24	front-side visual hint
低い	ひくい	0b613b7a-2ed7-11ef-a183-99ad05e145f0	_vocab-hikui.png	低い.png	insert	1		彼が小さいころは、背が低かったので、先生は簡単に彼の頭をなでることができました。	彼[かれ]が 小[ちい]さいころは、 背[せ]が<b>低[ひく]かった</b>ので、 先生[せんせい]は 簡単[かんたん]に 彼[かれ]の 頭[あたま]をなでることができました。	他小时候个子矮，所以老师能很容易摸到他的头。	他小時候個子矮，所以老師能很容易摸到他的頭。	voicepeak-custom-41f6303c85.mp3	2026-06-24	front-side visual hint
後ろ	うしろ	0b576924-2ed7-11ef-a183-99ad05e145f0	_vocab-ushiro.png	260619後ろ.png	reuse-slot	1		後ろの席	<b> 後[うし]ろ</b>の 席[せき]	后座	後座	voicepeak-custom-0341084651.mp3	2026-06-19	front-side visual hint
数える	かぞえる	0bad5f0a-2ed7-11ef-a183-99ad05e145f0	_vocab-kazoeru.png	260620数える.png	reuse-slot	1		人数を数える	人数[にんずう]を <b>数[かぞ]える</b>	数人数	數人數	voicepeak-custom-10b8392f56.mp3	2026-06-20	front-side visual hint
得意	とくい	0bb4b34a-2ed7-11ef-a183-99ad05e145f0	_vocab-tokui.png	得意.png	insert	1		彼女は得意なことがいくつもありそうです	彼女[かのじょ]は <b>得意[とくい]</b>なことがいくつもありそうです	她好像有很多擅长的事	她好像有很多擅長的事	voicepeak-custom-fc63c05d24.mp3	2026-06-22	front-side visual hint
気が付く	きがつく	0b7652bc-2ed7-11ef-a183-99ad05e145f0	_vocab-kigatsuku.png	気が付く.png	insert	1		彼は、自分がとても大切なことを忘れていたことにやっと気が付きました。	彼[かれ]は、 自分[じぶん]がとても 大切[たいせつ]なことを 忘[わす]れていたことにやっと <b>気[き]が 付[つ]きました</b>。	他终于意识到自己忘记了一件非常重要的事。	他終於意識到自己忘記了一件非常重要的事。	voicepeak-custom-5b36b6ef6a.mp3	2026-06-22	front-side visual hint
泊まる	とまる	0b882be0-2ed7-11ef-a183-99ad05e145f0	_vocab-tomaru.png	泊まる.png	insert	1		彼女はまずホテルに一晩泊まることにしました。	彼女[かのじょ]はまずホテルに 一晩[ひとばん] <b>泊[と]まる</b>ことにしました。	她决定先在酒店住一晚。	她決定先在飯店住一晚。	voicepeak-custom-5ca1836678.mp3	2026-06-22	front-side visual hint
回る	まわる	0b749f08-2ed7-11ef-a183-99ad05e145f0	_vocab-mawaru.png	回る.png	insert	1		二人は手を取り合って、踊りながらくるくる回っています。	二人[ふたり]は 手[て]を 取[と]り 合[あ]って、 踊[おど]りながらくるくる <b>回[まわ]っています</b>。	两个人手牵着手，一边跳舞一边不停地转圈。	兩個人手牽著手，一邊跳舞一邊不停地轉圈。	voicepeak-custom-bff2ceb582.mp3	2026-06-22	front-side visual hint
豊か	ゆたか	0b8abdc4-2ed7-11ef-a183-99ad05e145f0	_vocab-yutaka.png	豊か.png	insert	1		彼女は想像力が豊かな女の子です。	彼女[かのじょ]は 想像力[そうぞうりょく]が <b>豊[ゆた]か</b>な 女[おんな]の 子[こ]です。	她是个想象力丰富的女孩。	她是個想像力豐富的女孩。	voicepeak-custom-b4121455f8.mp3	2026-06-22	front-side visual hint
大勢	おおぜい	0bb10916-2ed7-11ef-a183-99ad05e145f0	_vocab-oozei.png	大勢.png	insert	1		彼は、大勢の人を誘って試合に参加したほうがいいと言いました。	彼[かれ]は、<b> 大勢[おおぜい]</b>の 人[ひと]を 誘[さそ]って 試合[しあい]に 参加[さんか]したほうがいいと 言[い]いました。	他说最好邀请很多人参加比赛。	他說最好邀請很多人參加比賽。	voicepeak-custom-9f6c4860f5.mp3	2026-06-22	front-side visual hint
それに	それに	0b6e3924-2ed7-11ef-a183-99ad05e145f0	_vocab-soreni.png	それに.png	insert	1		彼女はかわいくて、それに自分の考えをしっかり持っています。	彼女[かのじょ]はかわいくて、<b>それに</b> 自分[じぶん]の 考[かんが]えをしっかり 持[も]っています。	她很可爱，而且有自己的明确想法。	她很可愛，而且有自己的明確想法。	voicepeak-custom-e3656643a3.mp3	2026-06-22	front-side visual hint
はさみ	はさみ	0b6fbd08-2ed7-11ef-a183-99ad05e145f0	_vocab-hasami.png	はさみ.png	insert	1		彼女は、小型ナイフよりはさみのほうが便利だと思っています。	彼女[かのじょ]は、 小型[こがた]ナイフより<b>はさみ</b>のほうが 便利[べんり]だと 思[おも]っています。	她觉得剪刀比小型刀更方便。	她覺得剪刀比小型刀更方便。	voicepeak-custom-035945cb7e.mp3	2026-06-22	front-side visual hint
もしかしたら	もしかしたら	0bf28fa8-2ed7-11ef-a183-99ad05e145f0	_vocab-moshikashitara.png	もしかしたら.png	insert	1		もしかしたら、これは彼のかばんかもしれません。	<b>もしかしたら</b>、これは 彼[かれ]のかばんかもしれません。	也许这是他的包。	也許這是他的包。	voicepeak-custom-8eb21ea705.mp3	2026-06-22	front-side visual hint
